latitude,longitude,intensity
48.843697,2.384568,1
48.84373,2.30955,1
48.84398,2.30766,1
48.84405,2.25565,1
48.84409,2.2598,1
48.84414,2.30246,1
48.84414,2.34216,1
48.84418,2.33904,1
48.8442,2.27149,1
48.84428,2.35575,1
48.84429,2.3239,1
48.84437,2.25999,1
48.844397,2.40622,1
48.844635,2.351076,1
48.84468,2.34914,1
48.84469,2.31927,1
48.8448,2.30976,1
48.84481,2.29282,1
48.84485,2.25792,1
48.84494,2.27221,1
48.84505,2.26406,1
48.84512,2.3547,1
48.845213,2.299156,1
48.84524,2.3122,1
48.84545,2.2897,1
48.84548,2.40711,1
48.84549,2.32566,1
48.84552,2.30305,1
48.84561,2.28522,1
48.84564,2.31194,1
48.84565,2.29815,1
48.84585,2.26083,1
48.84585,2.37502,1
48.84585,2.3853,1
48.84591,2.31367,1
48.845916,2.28002,1
48.84601,2.38548,1
48.84604,2.29572,1
48.84615,2.37811,1
48.84618,2.39302,1
48.84623,2.37014,1
48.84628,2.26292,1
48.8463,2.27216,1
48.8464,2.33145,1
48.84644,2.26011,1
48.84649,2.31921,1
48.84652,2.38977,1
48.8466,2.40861,1
48.84666,2.26146,1
48.846687,2.3088,1
48.84669,2.3088,1
48.84675,2.26134,1
48.84677,2.39308,1
48.84692,2.30336,1
48.84694,2.34264,1
48.84709,2.3984,1
48.8471,2.35234,1
48.84711,2.28615,1
48.84713,2.31777,1
48.84715,2.38709,1
48.84721,2.3407,1
48.84732,2.34745,1
48.84738,2.34222,1
48.84748,2.29476,1
48.84749,2.26057,1
48.8475,2.29916,1
48.84752,2.26021,1
48.84754,2.29982,1
48.847549,2.28959,1
48.84755,2.30906,1
48.84757,2.27259,1
48.847614,2.348454,1
48.84766,2.33099,1
48.84777,2.38092,1
48.84789,2.28504,1
48.84789,2.32624,1
48.84802,2.310913,1
48.84804,2.3087,1
48.84809,2.36393,1
48.8481,2.308,1
48.84815,2.37648,1
48.8482,2.27425,1
48.84827,2.31968,1
48.84827,2.34701,1
48.84835,2.2635,1
48.84835,2.26466,1
48.84836,2.32473,1
48.84838,2.38078,1
48.8485,2.37141,1
48.84853,2.26092,1
48.84853,2.31009,1
48.84861,2.30178,1
48.84864,2.36513,1
48.84871,2.28857,1
48.84872,2.32555,1
48.84876,2.3129,1
48.848812,2.262561,1
48.84882,2.27541,1
48.84883,2.40292,1
48.84896,2.34873,1
48.84898,2.35474,1
48.84902,2.34958,1
48.84904,2.31841,1
48.84904,2.34733,1
48.84906,2.32179,1
48.84927,2.26625,1
48.84927,2.26925,1
48.849316,2.346305,1
48.84932,2.32206,1
48.84935,2.37468,1
48.84936,2.26532,1
48.84942,2.32019,1
48.84963,2.26611,1
48.84967,2.39332,1
48.8497,2.28419,1
48.84971,2.35132,1
48.84972,2.26897,1
48.84977,2.30115,1
48.84979,2.39275,1
48.8498,2.27447,1
48.8498,2.28651,1
48.84982,2.26645,1
48.84982,2.26687,1
48.84985,2.31677,1
48.84986,2.3371,1
48.84989,2.34517,1
48.84992,2.29183,1
48.84996,2.31285,1
48.85001,2.26607,1
48.850052,2.260206,1
48.85013,2.40121,1
48.850147,2.260586,1
48.85017,2.29948,1
48.8502,2.26522,1
48.8503,2.3279,1
48.85031,2.31661,1
48.85032,2.25991,1
48.850339,2.283808,1
48.85035,2.31239,1
48.85041,2.27661,1
48.85049,2.29719,1
48.850502,2.388182,1
48.85059,2.28523,1
48.85062,2.34967,1
48.85063,2.27696,1
48.8507,2.39834,1
48.85074,2.27392,1
48.85076,2.37836,1
48.85083,2.31635,1
48.85085,2.36203,1
48.85089,2.3387,1
48.850905,2.298419,1
48.85094,2.27845,1
48.85096,2.36958,1
48.85101,2.27518,1
48.85108,2.39942,1
48.85116,2.26729,1
48.85117,2.35853,1
48.85118,2.28937,1
48.851254,2.284784,1
48.85131,2.34978,1
48.85134,2.33603,1
48.85142,2.33622,1
48.85147,2.27064,1
48.8515,2.33131,1
48.8516,2.31065,1
48.85163,2.34857,1
